ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-05-07,6.974339955352774,6.626811035723591,8.729795773965252,6.974339955352774,6.974339955352774,0.7430811223918422,0.7430811223918422,0.7430811223918422,0.1075493790845918,0.1075493790845918,0.1075493790845918,0.6355317433072504,0.6355317433072504,0.6355317433072504,0.0,0.0,0.0,7.717421077744617
2018-05-08,6.974733828305937,6.6471918435214175,8.77131730001778,6.974733828305937,6.974733828305937,0.7286574931282253,0.7286574931282253,0.7286574931282253,0.0980867814707479,0.0980867814707479,0.0980867814707479,0.6305707116574774,0.6305707116574774,0.6305707116574774,0.0,0.0,0.0,7.703391321434163
2018-05-10,6.975521574212263,6.680914620717553,8.761045713540275,6.975521574212263,6.975521574212263,0.7621067799017651,0.7621067799017651,0.7621067799017651,0.13756428000044435,0.13756428000044435,0.13756428000044435,0.6245424999013207,0.6245424999013207,0.6245424999013207,0.0,0.0,0.0,7.737628354114028
2018-05-11,6.975915447165425,6.733257633107787,8.762926373362097,6.975915447165425,6.975915447165425,0.7597837640988713,0.7597837640988713,0.7597837640988713,0.13675406878532093,0.13675406878532093,0.13675406878532093,0.6230296953135503,0.6230296953135503,0.6230296953135503,0.0,0.0,0.0,7.735699211264296
2018-05-14,6.977097066024913,6.666684431729276,8.70522577870153,6.977097066024913,6.977097066024913,0.7288164741067462,0.7288164741067462,0.7288164741067462,0.10754937908486688,0.10754937908486688,0.10754937908486688,0.6212670950218793,0.6212670950218793,0.6212670950218793,0.0,0.0,0.0,7.705913540131659
2018-05-15,6.977490938978075,6.715460944522724,8.70585036317814,6.977490938978075,6.977490938978075,0.7187105736436924,0.7187105736436924,0.7187105736436924,0.0980867814715897,0.0980867814715897,0.0980867814715897,0.6206237921721027,0.6206237921721027,0.6206237921721027,0.0,0.0,0.0,7.6962015126217675
2018-05-16,6.977884811931238,6.670260032452128,8.73687932740858,6.977884811931238,6.977884811931238,0.7500922483961622,0.7500922483961622,0.7500922483961622,0.13063512335962676,0.13063512335962676,0.13063512335962676,0.6194571250365354,0.6194571250365354,0.6194571250365354,0.0,0.0,0.0,7.7279770603274
2018-05-17,6.978278684884401,6.66633336352449,8.716317101729652,6.978278684884401,6.978278684884401,0.7550469583489702,0.7550469583489702,0.7550469583489702,0.13756427999937088,0.13756427999937088,0.13756427999937088,0.6174826783495992,0.6174826783495992,0.6174826783495992,0.0,0.0,0.0,7.733325643233371
2018-05-18,6.978672557837564,6.79192000344784,8.86544170292475,6.978672557837564,6.978672557837564,0.7511884823600021,0.7511884823600021,0.7511884823600021,0.13675406878498747,0.13675406878498747,0.13675406878498747,0.6144344135750146,0.6144344135750146,0.6144344135750146,0.0,0.0,0.0,7.729861040197566
2018-05-21,6.979854176697051,6.615415588377488,8.728420071498382,6.979854176697051,6.979854176697051,0.70413484703587,0.70413484703587,0.70413484703587,0.10754937908514199,0.10754937908514199,0.10754937908514199,0.5965854679507281,0.5965854679507281,0.5965854679507281,0.0,0.0,0.0,7.683989023732921
2018-05-22,6.980248049650214,6.605302746641114,8.683335684822612,6.980248049650214,6.980248049650214,0.6852335279844759,0.6852335279844759,0.6852335279844759,0.0980867814710782,0.0980867814710782,0.0980867814710782,0.5871467465133977,0.5871467465133977,0.5871467465133977,0.0,0.0,0.0,7.66548157763469
2018-05-23,6.980641922603377,6.720577260010955,8.742566051451599,6.980641922603377,6.980641922603377,0.7063996871362931,0.7063996871362931,0.7063996871362931,0.13063512336053226,0.13063512336053226,0.13063512336053226,0.5757645637757609,0.5757645637757609,0.5757645637757609,0.0,0.0,0.0,7.68704160973967
2018-05-24,6.981035795556539,6.762654982288061,8.713934444435466,6.981035795556539,6.981035795556539,0.6999449707511297,0.6999449707511297,0.6999449707511297,0.1375642800008264,0.1375642800008264,0.1375642800008264,0.5623806907503033,0.5623806907503033,0.5623806907503033,0.0,0.0,0.0,7.680980766307669
2018-05-25,6.981429668509702,6.696662233330725,8.713004780507257,6.981429668509702,6.981429668509702,0.6837324898222171,0.6837324898222171,0.6837324898222171,0.13675406878465396,0.13675406878465396,0.13675406878465396,0.5469784210375632,0.5469784210375632,0.5469784210375632,0.0,0.0,0.0,7.66516215833192
