ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021-03-24,4.485466445897231,3.596717892330079,5.674435450187783,4.485466445897231,4.485466445897231,0.12238329139091626,0.12238329139091626,0.12238329139091626,0.004967824685863804,0.004967824685863804,0.004967824685863804,0.11741546670505246,0.11741546670505246,0.11741546670505246,0.0,0.0,0.0,4.607849737288147
2021-03-24,4.485466445897231,3.6322465917009357,5.664380481233538,4.485466445897231,4.485466445897231,0.12238329139091626,0.12238329139091626,0.12238329139091626,0.004967824685863804,0.004967824685863804,0.004967824685863804,0.11741546670505246,0.11741546670505246,0.11741546670505246,0.0,0.0,0.0,4.607849737288147
2021-03-25,4.498263773407965,3.5531702158713334,5.611919364165561,4.498263773407965,4.498263773407965,0.1355412648906453,0.1355412648906453,0.1355412648906453,0.01028579999983686,0.01028579999983686,0.01028579999983686,0.12525546489080844,0.12525546489080844,0.12525546489080844,0.0,0.0,0.0,4.63380503829861
2021-03-25,4.498263773407965,3.690764970435895,5.664711212907043,4.498263773407965,4.498263773407965,0.1355412648906453,0.1355412648906453,0.1355412648906453,0.01028579999983686,0.01028579999983686,0.01028579999983686,0.12525546489080844,0.12525546489080844,0.12525546489080844,0.0,0.0,0.0,4.63380503829861
2021-03-26,4.511061100918703,3.6309619456640316,5.6926670774134775,4.511061100918703,4.511061100918703,0.13112828248230687,0.13112828248230687,0.13112828248230687,-0.0036352257510318415,-0.0036352257510318415,-0.0036352257510318415,0.1347635082333387,0.1347635082333387,0.1347635082333387,0.0,0.0,0.0,4.642189383401011
2021-03-26,4.511061100918703,3.5955348794824444,5.669438154672739,4.511061100918703,4.511061100918703,0.13112828248230687,0.13112828248230687,0.13112828248230687,-0.0036352257510318415,-0.0036352257510318415,-0.0036352257510318415,0.1347635082333387,0.1347635082333387,0.1347635082333387,0.0,0.0,0.0,4.642189383401011
2021-03-29,4.54945308345091,3.6390425091661323,5.678934769569976,4.54945308345091,4.54945308345091,0.1581323392286364,0.1581323392286364,0.1581323392286364,-0.013357082955574973,-0.013357082955574973,-0.013357082955574973,0.17148942218421137,0.17148942218421137,0.17148942218421137,0.0,0.0,0.0,4.707585422679546
2021-03-29,4.54945308345091,3.7719660655742664,5.7719481027707635,4.54945308345091,4.54945308345091,0.1581323392286364,0.1581323392286364,0.1581323392286364,-0.013357082955574973,-0.013357082955574973,-0.013357082955574973,0.17148942218421137,0.17148942218421137,0.17148942218421137,0.0,0.0,0.0,4.707585422679546
2021-03-30,4.562250410961644,3.7096894377316683,5.760302518038431,4.562250410961644,4.562250410961644,0.16711832382547526,0.16711832382547526,0.16711832382547526,-0.01862135411554286,-0.01862135411554286,-0.01862135411554286,0.18573967794101812,0.18573967794101812,0.18573967794101812,0.0,0.0,0.0,4.729368734787119
2021-03-30,4.562250410961644,3.7538960729077218,5.770941867660567,4.562250410961644,4.562250410961644,0.16711832382547526,0.16711832382547526,0.16711832382547526,-0.01862135411554286,-0.01862135411554286,-0.01862135411554286,0.18573967794101812,0.18573967794101812,0.18573967794101812,0.0,0.0,0.0,4.729368734787119
